,State,EBRW,Math
0,Alabama,593,572
1,Alaska,547,533
2,Arizona,563,553
3,Arkansas,614,594
4,California,531,524
5,Colorado,606,595
6,Connecticut,530,512
7,Delaware,503,492
8,District of Columbia,482,468
9,Florida,520,497
10,Georgia,535,515
11,Hawaii,544,541
12,Idaho,513,493
13,Illinois,559,556
14,Indiana,542,532
15,Iowa,641,635
16,Kansas,632,628
17,Kentucky,631,616
18,Louisiana,611,586
19,Maine,513,499
20,Maryland,536,524
21,Massachusetts,555,551
22,Michigan,509,495
23,Minnesota,644,651
24,Mississippi,634,607
25,Missouri,640,631
26,Montana,605,591
27,Nebraska,629,625
28,Nevada,563,553
29,New Hampshire,532,520
30,New Jersey,530,526
31,New Mexico,577,561
32,New York,528,523
33,North Carolina,546,535
34,North Dakota,635,621
35,Ohio,578,570
36,Oklahoma,530,517
37,Oregon,560,548
38,Pennsylvania,540,531
39,Rhode Island,539,524
40,South Carolina,543,521
41,South Dakota,612,603
42,Tennessee,623,604
43,Texas,513,507
44,Utah,624,614
45,Vermont,562,551
46,Virginia,561,541
47,Washington,541,534
48,West Virginia,558,528
49,Wisconsin,642,649
50,Wyoming,626,604
